City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Ribeira Brava,PT,2022-08-06 17:15:57,32.65,-17.0667,75.83,66,0,4.54
153,Bathsheba,BB,2022-08-06 17:23:23,13.2167,-59.5167,88.41,83,40,16.11
154,Sitka,US,2022-08-06 17:22:30,57.0531,-135.33,57.09,94,100,9.22
155,San Juan De Uraba,CO,2022-08-06 17:23:24,8.7592,-76.5297,84.45,69,97,7.63
156,Tual,ID,2022-08-06 17:15:42,-5.6667,132.75,79.41,84,94,7.81
157,Martapura,ID,2022-08-06 17:23:24,-3.4167,114.85,71.69,100,91,1.14
158,Arraial Do Cabo,BR,2022-08-06 17:23:25,-22.9661,-42.0278,73.36,68,75,8.05
159,Vestmannaeyjar,IS,2022-08-06 17:23:25,63.4427,-20.2734,52.79,100,100,12.66
160,Camacari,BR,2022-08-06 17:23:26,-12.6975,-38.3242,76.77,76,68,8.43
161,Lompoc,US,2022-08-06 17:23:27,34.6391,-120.4579,63.01,88,100,5.75
162,Malinovoye Ozero,RU,2022-08-06 17:23:27,51.6753,79.7825,66.29,41,0,6.69
163,Lagoa,PT,2022-08-06 17:23:28,39.05,-27.9833,75.63,80,29,12.1
164,Hay River,CA,2022-08-06 17:20:57,60.8156,-115.7999,62.58,67,100,8.05
165,Port Lincoln,AU,2022-08-06 17:23:29,-34.7333,135.8667,52.32,73,14,9.51
166,Cobija,BO,2022-08-06 17:23:29,-11.0267,-68.7692,82.58,78,75,0.0
167,Alenquer,BR,2022-08-06 17:23:31,-1.9417,-54.7383,95.07,37,92,6.67
168,Goure,NE,2022-08-06 17:23:31,13.9835,10.2704,92.01,29,33,8.12
169,Kavaratti,IN,2022-08-06 17:23:32,10.5669,72.642,80.62,85,61,21.23
170,Bundaberg,AU,2022-08-06 17:23:33,-24.85,152.35,59.22,95,85,7.99
171,San Patricio,US,2022-08-06 17:23:34,28.017,-97.5169,93.16,40,84,8.55
172,Maniitsoq,GL,2022-08-06 17:23:34,65.4167,-52.9,41.83,88,61,18.25
173,Riberalta,BO,2022-08-06 17:23:35,-10.9833,-66.1,75.4,83,100,6.91
174,Blagoyevo,RU,2022-08-06 17:23:36,63.3667,47.9167,71.58,64,3,5.14
175,Victoria,HK,2022-08-06 17:19:03,22.2855,114.1577,83.32,90,60,4.0
176,Kieta,PG,2022-08-06 17:23:37,-6.2167,155.6333,78.1,81,92,5.19
177,Lucapa,AO,2022-08-06 17:18:14,-8.4192,20.7447,78.48,22,79,2.3
178,Nome,US,2022-08-06 17:23:38,64.5011,-165.4064,42.87,75,0,6.91
179,Flin Flon,CA,2022-08-06 17:18:16,54.7682,-101.865,66.04,45,20,8.05
180,Bonthe,SL,2022-08-06 17:23:40,7.5264,-12.505,79.56,77,99,11.48
181,Tautira,PF,2022-08-06 17:23:41,-17.7333,-149.15,75.81,78,99,25.17
182,Aksarka,RU,2022-08-06 17:23:41,66.5606,67.7975,57.74,77,75,5.12
183,Yabrud,SY,2022-08-06 17:24:42,33.9674,36.6574,81.25,38,0,0.76
184,Qaqortoq,GL,2022-08-06 17:24:43,60.7167,-46.0333,45.21,93,97,10.89
185,Rio Gallegos,AR,2022-08-06 17:24:44,-51.6226,-69.2181,37.45,100,100,3.44
186,Qui Nhon,VN,2022-08-06 17:24:45,13.7667,109.2333,78.33,85,100,8.08
187,Galle,LK,2022-08-06 17:24:46,6.0367,80.217,77.92,88,100,10.0
188,Slave Lake,CA,2022-08-06 17:20:02,55.2834,-114.769,67.98,52,75,6.91
189,Banda Aceh,ID,2022-08-06 17:24:46,5.5577,95.3222,80.08,77,92,7.94
190,Dinant,BE,2022-08-06 17:24:47,50.2584,4.9106,72.55,39,3,11.5
191,Kalispell,US,2022-08-06 17:20:50,48.1958,-114.3129,72.5,36,0,5.01
192,Huntington,US,2022-08-06 17:24:48,38.4193,-82.4452,83.53,85,100,8.05
193,Kloulklubed,PW,2022-08-06 17:24:13,7.0419,134.2556,79.16,88,100,14.05
194,San Felipe,VE,2022-08-06 17:24:49,10.3399,-68.7425,83.08,75,54,1.07
195,Bengkulu,ID,2022-08-06 17:24:49,-3.8004,102.2655,74.97,86,0,4.32
196,Artyom,AZ,2022-08-06 17:24:49,40.4723,50.333,78.94,71,30,16.69
197,Sisimiut,GL,2022-08-06 17:24:50,66.9395,-53.6735,39.69,91,100,3.49
198,Hofn,IS,2022-08-06 17:24:51,64.2539,-15.2082,53.96,89,100,4.99
199,Camopi,GF,2022-08-06 17:24:51,3.1655,-52.3158,91.35,38,95,4.61
200,Nishihara,JP,2022-08-06 17:24:52,26.1842,127.7558,82.45,86,20,5.75
201,Moron,AR,2022-08-06 17:24:52,-34.6534,-58.6198,63.01,46,92,6.78
202,Manta,EC,2022-08-06 17:20:06,-0.95,-80.7333,76.78,78,99,11.5
203,Kushiro,JP,2022-08-06 17:24:53,42.975,144.3747,63.64,94,100,5.82
204,Evensk,RU,2022-08-06 17:24:54,61.95,159.2333,50.99,98,100,8.12
205,Katherine,AU,2022-08-06 17:24:54,-14.4667,132.2667,82.72,51,40,5.75
206,Saint George,US,2022-08-06 17:20:44,37.1041,-113.5841,90.43,40,0,5.75
207,Bolkhov,RU,2022-08-06 17:24:55,53.4433,36.0044,74.05,64,6,2.55
208,Samarai,PG,2022-08-06 17:24:55,-10.6167,150.6667,79.63,86,86,10.31
209,Ponta Do Sol,PT,2022-08-06 17:24:56,32.6667,-17.1,75.83,67,0,4.16
210,Panji,ID,2022-08-06 17:24:56,-7.7253,114.0995,74.5,79,50,6.2
211,Esperance,AU,2022-08-06 17:24:57,-33.8667,121.9,54.97,60,60,12.8
212,Cabo San Lucas,MX,2022-08-06 17:24:42,22.8909,-109.9124,90.7,55,75,4.61
213,Digboi,IN,2022-08-06 17:24:58,27.3833,95.6333,79.29,91,100,2.71
214,Kargasok,RU,2022-08-06 17:24:59,59.0556,80.8572,61.02,82,100,6.67
215,Borovskoy,KZ,2022-08-06 17:20:17,53.8,64.15,68.99,55,64,7.38
216,Rawson,AR,2022-08-06 17:24:59,-43.3002,-65.1023,46.24,70,99,11.45
217,Cap Malheureux,MU,2022-08-06 17:25:00,-19.9842,57.6142,68.47,85,13,3.0
218,San Carlos De Bariloche,AR,2022-08-06 17:20:29,-41.1456,-71.3082,33.55,93,100,10.36
