City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Muros,ES,42.7762,-9.0603,63.09,93,100,24.32,light rain
237,Severo-Kurilsk,RU,50.6789,156.125,33.82,69,78,28.16,light snow
238,Beloha,MG,-25.1667,45.05,67.14,82,0,13.15,clear sky
239,Gorontalo,ID,0.5412,123.0595,88.95,58,85,2.42,overcast clouds
240,Manokwari,ID,-0.8667,134.0833,83.82,73,55,6.22,light rain
241,Jacareacanga,BR,-6.2222,-57.7528,73.22,99,100,1.59,overcast clouds
242,Gallup,US,35.5281,-108.7426,35.02,36,0,0.0,clear sky
243,Katsuura,JP,35.1333,140.3,57.22,85,100,15.57,light rain
244,Chuy,UY,-33.6971,-53.4616,57.9,86,53,4.18,broken clouds
245,Munchberg,DE,50.2,11.7833,37.98,99,100,4.0,overcast clouds
246,Natal,BR,-5.795,-35.2094,79.02,69,40,9.22,scattered clouds
247,Ancud,CL,-41.8697,-73.8203,55.56,99,100,8.14,light rain
248,Trincomalee,LK,8.5711,81.2335,76.5,82,75,11.68,broken clouds
249,Semme,FR,46.1963,1.5007,45.01,97,100,6.76,overcast clouds
250,Along,IN,28.1667,94.7667,62.42,50,2,1.41,clear sky
251,Guhagar,IN,17.4842,73.1929,74.35,58,100,3.83,overcast clouds
252,Chabahar,IR,25.2919,60.643,73.92,56,55,7.02,broken clouds
253,Krasnoarmeysk,RU,51.0239,45.6969,42.73,99,100,12.66,overcast clouds
254,Antalaha,MG,-14.9003,50.2788,70.54,90,100,4.74,overcast clouds
255,Rauma,FI,61.1272,21.5113,26.64,89,45,7.74,scattered clouds
256,Williston,US,48.147,-103.618,32.74,89,99,6.98,overcast clouds
257,San Juan,AR,-31.5375,-68.5364,77.13,21,1,6.26,clear sky
258,Upata,VE,8.0086,-62.3989,69.26,97,10,3.22,clear sky
259,Walvis Bay,NA,-22.9575,14.5053,59.09,94,0,2.3,clear sky
260,Kendari,ID,-3.945,122.4989,86.56,68,100,1.23,moderate rain
261,Northam,GB,51.0333,-4.2167,50.25,89,100,21.32,overcast clouds
262,Papara,BR,-3.9839,-38.7273,79.2,80,17,4.61,few clouds
263,Kamenka,RU,51.3223,42.7678,49.69,92,100,15.77,overcast clouds
264,Svetlogorsk,BY,52.6333,29.7333,13.37,98,84,4.43,broken clouds
265,Pimenta Bueno,BR,-11.6725,-61.1936,71.78,93,99,1.63,light rain
266,Concordia,AR,-31.393,-58.0209,56.79,97,0,3.6,clear sky
267,Henties Bay,NA,-22.116,14.2845,60.6,82,0,3.22,clear sky
268,Ingham,US,42.6,-84.3833,37.35,74,0,0.0,clear sky
269,Shenjiamen,CN,29.9576,122.298,61.36,80,94,20.42,overcast clouds
